Feature,Importance,Importance_Percentage
V14,0.1880336741742893,18.80336741742893
V10,0.13641405469169116,13.641405469169115
V12,0.11582919371138714,11.582919371138715
V4,0.10458933500308439,10.458933500308438
V17,0.0812594868304426,8.12594868304426
V3,0.056166278588310053,5.616627858831006
V16,0.049430906329975585,4.943090632997558
V11,0.04235699696910504,4.235699696910504
V2,0.03057719845701226,3.057719845701226
V7,0.02538152195238019,2.538152195238019
V9,0.018015547865988947,1.8015547865988948
V19,0.0146858186287512,1.46858186287512
V21,0.0132416363074961,1.32416363074961
V8,0.01272150141291048,1.272150141291048
V18,0.010745575422649234,1.0745575422649234
V27,0.010672697184426911,1.0672697184426911
V20,0.009060540874539625,0.9060540874539625
V1,0.008722096718420386,0.8722096718420386
V15,0.0073933454013920905,0.7393345401392091
V6,0.007383030549941721,0.7383030549941721
V5,0.0072088824190915425,0.7208882419091542
Amount,0.007179673745646298,0.7179673745646298
V13,0.007150184732159022,0.7150184732159022
V26,0.0064764211575362805,0.6476421157536281
V22,0.005870094933530286,0.5870094933530287
V28,0.005499759379213566,0.5499759379213566
V25,0.00495845029043949,0.495845029043949
V23,0.004655794351798476,0.4655794351798476
Time,0.004173216219822387,0.4173216219822387
V24,0.004147085696568336,0.4147085696568336
